觀音山,Koan im soaⁿ
觀音寺,Koan im sī
關山,Koan san
關山鎮,Koan san tìn
關西鎮,Koan se tìn
關帝廟,Koan tè biō
關帝廟街,Koan tè biō ke
關帝爺,Koan tè iâ
關仔嶺,Koan á niá
官佃,Koaⁿ tiān
官田溪,Koaⁿ tiān khe
官田區,Koaⁿ tiān khu
雞籠,Koe lâng
郭,Koeh
郭元益糕餅博物館,Koeh Goân ek Ko piáⁿ Phok bu̍t koán
國,Kok
谷,Kok
國安會,Kok an hōe
國安局,Kok an kio̍k
國發會,Kok hoat hōe
國府,Kok hú
國父,Kok hū
國父紀念館,Kok hū Kì liām koán
國父史蹟紀念館,Kok hū Sú chek Kì liām koán
國科會,Kok kho hōe
國軍歷史文物館,Kok kun Le̍k sú Bûn bu̍t koán
國立臺灣藝術教育館,Kok li̍p Tâi oân Gē su̍t Kàu io̍k koán
國立臺灣科學教育院,Kok li̍p Tâi oân Kho ha̍k Kàu io̍k īⁿ
國立臺灣博物館,Kok li̍p Tâi oân Phok bu̍t koán
國稅局,Kok sè kio̍k
國姓鄉,Kok sèng hiong
國姓埔,Kok sèng po͘
國稅局,Kok sòe kio̍k
公賣局,Kong bē kio̍k
公賣局,Kong bōe kio̍k
光復,Kong ho̍k
光復鄉,Kong ho̍k hiong
光復溪,Kong ho̍k khe
公羊,Kong iông
公館,Kong koán
公館鄉,Kong koán hiong
公埔,Kong po͘
岡山,Kong san
岡山區,Kong san khu
公孫,Kong sun
辜,Ko͘
龜崙社,Ku lun siā
龜山,Ku soaⁿ
龜山區,Ku soaⁿ khu
龜山島山,Ku soaⁿ tó soaⁿ
歸仁區,Kui jîn khu
歸來,Kui lâi
教宗,Kàu chong
教廷,Kàu têng
𥴊仔賴,Kám á lōa
簡,Kán
澗仔壢,Kán á le̍k
港墘,Káng kîⁿ
江子翠,Káng á chhùi
港仔喙,Káng á chhùi
九,Káu
九讚頭,Káu chàn thâu
九份二山,Káu hūn jī soaⁿ
九塊厝,Káu tè chhù
猴齊天,Kâu Chê thian
猴樹港,Kâu chhiū káng
侯硐,Kâu tōng
計,Kè
耿,Kéng
龔,Kéng
景安,Kéng an
景美,Kéng bé
梘尾,Kéng bé
景美溪,Kéng bé khe
景美,Kéng bí
景美,Kéng bóe
梘尾,Kéng bóe
景美溪,Kéng bóe khe
景福宮,Kéng hok kiong
警廣,Kéng kóng
景山溪,Kéng soaⁿ khe
唭哩岸,Kì lí gān
靳,Kìn
紀,Kí
莒光鄉,Kí kong hiong
奇美,Kî bí
旗尾山,Kî bóe soaⁿ
奇武卒,Kî bú chut
奇岩,Kî giâm
奇萊主山北峰,Kî lâi chú soaⁿ pak hong
旗山溪,Kî san khe
旗山區,Kî san khu
旗津區,Kî tin khu
旗後,Kî āu
貢寮,Kòng liâu
貢寮區,Kòng liâu khu
顧,Kò͘
故宮,Kò͘ kiong
故宮博物院,Kò͘ kiong Phok bu̍t īⁿ
果,Kó
廣福宮,Kóng hok kiong
古,Kó͘
古莊,Kó͘ chng
古坑鄉,Kó͘ kheⁿ hiong
鼓山區,Kó͘ san khu
古亭,Kó͘ têng
季,Kùi
桂,Kùi
巨蛋,Kī tàn
沼平,Kū chām
巨蛋,Kū tàn
拉丁,La teng
凹子底,Lap á té
六甲區,La̍k kah khu
六腳鄉,La̍k kha hiong
六跤佃莊,La̍k kha tiān chng
六根莊,La̍k kin chng
六龜區,La̍k ku khu
六龜里社,La̍k ku lí siā
六張犁,La̍k tiuⁿ lê
六塊厝,La̍k tè chhù
歷史博物館,Le̍k sú Phok bu̍t koán
綠島鄉,Le̍k tó hiong
聶,Lia̍p
烈嶼鄉,Lia̍t sū hiong
陸,Lio̍k
陸委會,Lio̍k úi hōe
年,Liân
連,Liân
聯招會,Liân chiau hōe
連江縣,Liân kang koān
饒,Liâu
龍,Liông
龍井,Liông chéⁿ
龍井區,Liông chéⁿ khu
龍井,Liông chíⁿ
龍井區,Liông chíⁿ khu
瀧溪,Liông khe
龍崎區,Liông kiā khu
龍山寺,Liông san sī
龍潭區,Liông thâm khu
隆田,Liông tiân
柳,Liú
柳營,Liú iâⁿ
柳營區,Liú iâⁿ khu
琉球鄉,Liû khiû hiong
琉球鄉,Liû kiû hiong
琉園水晶博物館,Liû oân Chúi chiⁿ Phok bu̍t koán
練,Liān
廖,Liāu
立法院,Li̍p hoat īⁿ
日文,Li̍t bûn
日月潭,Li̍t goa̍t thâm
日語,Li̍t gú
日劇,Li̍t ke̍k
日劇,Li̍t kio̍k
日式,Li̍t sek
日商,Li̍t siong
日產,Li̍t sán
暖暖,Loán loán
暖暖區,Loán loán khu
駱,Lo̍h
駱,Lo̍k
鹿,Lo̍k
鹿草鄉,Lo̍k chháu hiong
鹿野,Lo̍k iá
鹿野鄉,Lo̍k iá hiong
鹿野溪,Lo̍k iá khe
鹿谷鄉,Lo̍k kok hiong
鹿港鎮,Lo̍k káng tìn
鹿寮,Lo̍k liâu
鹿寮溪,Lo̍k liâu khe
樂樂溪,Lo̍k lo̍k khe
鹿麻產,Lo̍k môa sán
鹿仔草庄,Lo̍k á chháu chng
鹿仔港,Lo̍k á káng
湳仔,Làm á
拉拉山,Lá lá san
來義鄉,Lâi gī hiong
來社,Lâi siā
南,Lâm
南亞,Lâm a
南州,Lâm chiu
南州鄉,Lâm chiu hiong
南莊,Lâm chng
南庄鄉,Lâm chng hiong
楠梓,Lâm chú
楠梓加工區,Lâm chú Ka kang khu
楠梓區,Lâm chú khu
南靖,Lâm chēng
南海,Lâm hái
南化區,Lâm hòa khu
南河,Lâm hô
南迴鐵路,Lâm hôe thih lō͘
南瑤宮,Lâm iâu kiong
南洋,Lâm iûⁿ
南仁山,Lâm jîn soaⁿ
南竿鄉,Lâm kan hiong
南區,Lâm khu
南京復興,Lâm kiaⁿ Ho̍k heng
南宮,Lâm kiong
南岡山,Lâm kong san
南港,Lâm káng
南港軟體園區,Lâm káng Nńg thé Hn̂g khu
南港展覽館,Lâm káng Tián lám koán
南港區,Lâm káng khu
南平,Lâm pêng
楠西區,Lâm se khu
南沙,Lâm soa
南勢,Lâm sì
南勢角,Lâm sì kak
南投市,Lâm tâu chhī
南投縣,Lâm tâu koān
南屯區,Lâm tūn khu
楠仔坑,Lâm á khe
楠仔坑,Lâm á kheⁿ
南澳,Lâm ò
南澳鄉,Lâm ò hiong
南胡大山,Lâm ô͘ tōa soaⁿ
蘭陽溪,Lân iâng khe
蘭陽溪,Lân iông khe
蘭嶼鄉,Lân sū hiong
劉,Lâu
樓,Lâu
冷,Léng
黎,Lê
梨園寮,Lê hn̂g liâu
螺陽,Lê iâng
犁頭店,Lê thâu tiàm
凌,Lêng
龍,Lêng
龍目井,Lêng ba̍k chíⁿ
龍泉,Lêng chôaⁿ
令狐,Lêng hô͘
龍港,Lêng káng
苓雅區,Lêng ngá khu
靈潭陂,Lêng thâm pi
李,Lí
李石樵美術館,Lí Chio̍h chiâu Bí su̍t koán
鯉魚尾,Lí hî bé
鯉魚尾,Lí hî bóe
里港鄉,Lí káng hiong
林,Lîm
